mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.009994149208068848,1.5497207641601562e-06,0.0,0.0,relu,0.001,"(0, 200)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 200), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3987
0.009995102882385254,1.5497207641601562e-06,0.0,0.0,relu,0.5,"(200, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (200, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3986
0.010497450828552246,0.0005015134811401367,0.0,0.0,relu,0.05,"(150, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (150, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3985
0.010997176170349121,5.960464477539062e-07,0.0,0.0,relu,0.001,"(150, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (150, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3984
0.009495973587036133,0.0004999637603759766,0.0,0.0,relu,0.001,"(10, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3983
0.010497093200683594,0.0005023479461669922,0.0,0.0,relu,10,"(40, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (40, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3982
0.009999513626098633,0.0009961128234863281,0.0,0.0,relu,10,"(200, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (200, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3981
0.009494543075561523,0.0005004405975341797,0.0,0.0,relu,0.5,"(12, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (12, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3980
0.01499474048614502,0.003998160362243652,0.0,0.0,relu,0.5,"(50, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (50, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3979
0.010996699333190918,1.0728836059570312e-06,0.0,0.0,relu,0.001,"(15, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (15, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3978
0.00949394702911377,0.0004998445510864258,0.0,0.0,relu,0.001,"(30, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (30, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3977
0.012501001358032227,0.002494335174560547,0.0,0.0,relu,10,"(0, 10)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 10), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3976
0.010996341705322266,0.0009996891021728516,0.0,0.0,relu,1,"(25, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (25, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3975
0.010495305061340332,0.0005003213882446289,0.0,0.0,relu,0.5,"(0, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 50), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3974
0.009997010231018066,2.2649765014648438e-06,0.0,0.0,relu,1,"(0, 25)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 25), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3973
0.01149594783782959,0.000500798225402832,0.0,0.0,relu,10,"(0, 40)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 40), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3972
0.01049792766571045,0.0004996061325073242,0.0,0.0,relu,0.05,"(0, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 50), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3971
0.00949716567993164,0.000499725341796875,0.0,0.0,relu,0.5,"(100, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3970
0.010495305061340332,0.0004991292953491211,0.0,0.0,relu,0.5,"(0, 100)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 100), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3969
0.009996414184570312,0.0009987354278564453,0.0,0.0,relu,1,"(50, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (50, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3968
0.01399528980255127,0.002999424934387207,0.0,0.0,relu,10,"(0, 200)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 200), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3967
0.010500073432922363,0.0004943609237670898,0.0,0.0,relu,1,"(13, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (13, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3966
0.01249682903289795,0.003499627113342285,0.0,0.0,relu,1,"(0, 30)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 30), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3965
0.009496688842773438,0.0004990100860595703,0.0,0.0,relu,0.05,"(50, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3964
0.008993268013000488,2.9802322387695312e-06,0.0,0.0,relu,10,"(10, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (10, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3963
0.008996844291687012,1.0728836059570312e-06,0.0,0.0,relu,0.001,"(200, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (200, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3962
0.010495662689208984,0.0005013942718505859,0.0,0.0,relu,1,"(14, 0)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (14, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,3961
